week_date,actual,pred_xgb_ensemble,is_live
2000-01-03,1.252,1.9049497,0
2000-01-10,1.268,1.3323207,0
2000-01-17,1.307,1.2496489,0
2000-01-24,1.307,1.2704753,0
2000-01-31,1.319,1.3419307,0
2000-02-07,1.35,1.3742199,0
2000-02-14,1.4,1.406786,0
2000-02-21,1.413,1.4195685,0
2000-02-28,1.49,1.482029,0
2000-03-06,1.511,1.4772006,0
2000-03-13,1.508,1.5118831,0
2000-03-20,1.484,1.5128827,0
2000-03-27,1.478,1.4773139,0
2000-04-03,1.447,1.4516827,0
2000-04-10,1.415,1.4566307,0
2000-04-17,1.406,1.4576225,0
2000-04-24,1.386,1.4469299,0
2000-05-01,1.427,1.4461703,0
2000-05-08,1.466,1.44375,0
2000-05-15,1.494,1.4900408,0
2000-05-22,1.509,1.5020913,0
2000-05-29,1.535,1.5252475,0
2000-06-05,1.607,1.5330435,0
2000-06-12,1.664,1.5779551,0
2000-06-19,1.641,1.6206784,0
2000-06-26,1.606,1.6462275,0
2000-07-03,1.571,1.6014757,0
2000-07-10,1.521,1.5681533,0
2000-07-17,1.499,1.5213695,0
2000-07-24,1.447,1.4624518,0
2000-07-31,1.437,1.4690799,0
2000-08-07,1.42,1.4491391,0
2000-08-14,1.444,1.4555358,0
2000-08-21,1.456,1.452025,0
2000-08-28,1.502,1.4921974,0
2000-09-04,1.535,1.4962956,0
2000-09-11,1.539,1.5281748,0
2000-09-18,1.525,1.5622078,0
2000-09-25,1.498,1.5492377,0
2000-10-02,1.473,1.4893364,0
2000-10-09,1.516,1.4908272,0
2000-10-16,1.532,1.4835763,0
2000-10-23,1.523,1.5230085,0
2000-10-30,1.502,1.5245233,0
2000-11-06,1.501,1.4956928,0
2000-11-13,1.487,1.4633812,0
2000-11-20,1.489,1.4739078,0
2000-11-27,1.464,1.4635304,0
2000-12-04,1.425,1.4816651,0
2000-12-11,1.396,1.427165,0
2000-12-18,1.388,1.4015568,0
2000-12-25,1.377,1.4198518,0
2001-01-01,1.4,1.4036907,0
2001-01-08,1.458,1.407389,0
2001-01-15,1.456,1.4569616,0
2001-01-22,1.446,1.485919,0
2001-01-29,1.426,1.4682573,0
